================ Precision Log (Fri Apr 11 21:30:00 2025) ================
Epoch:340  sam 3.208059787750244,psnr 30.383230209350586,ergas 0.7384046268656985,cc 0.9652755806403298,rmse 0.023273490075887623,Ssim 0.8979452731295202,Uqi 0.9935821605426184
Epoch:350  sam 3.027061700820923,psnr 30.82914161682129,ergas 0.681309449733474,cc 0.9690053944817194,rmse 0.022157262412185734,Ssim 0.9115823423372548,Uqi 0.9943475173643386
Epoch:360  sam 2.9842305183410645,psnr 31.121870040893555,ergas 0.6614636766096634,cc 0.9698550408827685,rmse 0.021364679364908212,Ssim 0.9150315218281798,Uqi 0.9947428815044786
Epoch:370  sam 2.9023139476776123,psnr 31.31247901916504,ergas 0.6475388378733273,cc 0.9711432640686425,rmse 0.020929636718454377,Ssim 0.9181631926103951,Uqi 0.9948841775320351
Epoch:380  sam 2.8318841457366943,psnr 31.323226928710938,ergas 0.6423268413857618,cc 0.9723876204705322,rmse 0.020886672696748654,Ssim 0.9212671796962534,Uqi 0.9949228458705807
Epoch:390  sam 2.770189046859741,psnr 31.865591049194336,ergas 0.6081742773331891,cc 0.9731739365230082,rmse 0.01978425004094462,Ssim 0.9238008171714631,Uqi 0.995537475370578
Epoch:400  sam 2.70434832572937,psnr 31.878969192504883,ergas 0.603443923295061,cc 0.9742184186974175,rmse 0.019656166011241503,Ssim 0.9270268897136004,Uqi 0.9956074813026681
Epoch:410  sam 2.658100128173828,psnr 32.16072463989258,ergas 0.5883847458080572,cc 0.9749250357896314,rmse 0.019024611614698077,Ssim 0.9294074816264283,Uqi 0.9958597337085878
Epoch:420  sam 2.600797176361084,psnr 32.254730224609375,ergas 0.5789187068795879,cc 0.9757316947221842,rmse 0.018799360735717658,Ssim 0.9318826711322452,Uqi 0.9959857292997597
Epoch:430  sam 2.562056541442871,psnr 32.41588592529297,ergas 0.5699232218438834,cc 0.9763214642313981,rmse 0.01844693902477974,Ssim 0.9339235463449638,Uqi 0.9961049515825512
Epoch:440  sam 2.516273021697998,psnr 32.462623596191406,ergas 0.5637043149069777,cc 0.9769687030586249,rmse 0.018360763349011478,Ssim 0.9360268383789913,Uqi 0.9961711538807531
Epoch:450  sam 2.4852592945098877,psnr 32.579830169677734,ergas 0.5571747917188311,cc 0.97747046525318,rmse 0.018067887162465088,Ssim 0.9378075135460567,Uqi 0.9962491144091102
Epoch:460  sam 2.4477715492248535,psnr 32.739280700683594,ergas 0.5468807811611688,cc 0.9780195229946089,rmse 0.017787578186126498,Ssim 0.9394853210973738,Uqi 0.9963824383521417
Epoch:470  sam 2.414942979812622,psnr 32.786109924316406,ergas 0.542687373215311,cc 0.9785238986112719,rmse 0.01771633158716762,Ssim 0.9412059433438159,Uqi 0.9964241172873994
Epoch:480  sam 2.3930904865264893,psnr 32.91184616088867,ergas 0.5373692700697131,cc 0.9789320165679356,rmse 0.01741299822751591,Ssim 0.9427713763767328,Uqi 0.9964984738811787
Epoch:490  sam 2.358327865600586,psnr 33.14286804199219,ergas 0.5193911703636412,cc 0.9794768923478271,rmse 0.016965188864291058,Ssim 0.9444713062802259,Uqi 0.9967613453495444
Epoch:500  sam 2.4140138626098633,psnr 33.12244415283203,ergas 0.5215590688846556,cc 0.9801758202545083,rmse 0.01689012570248993,Ssim 0.9461193413189664,Uqi 0.9967712144192062
Epoch:510  sam 2.332162857055664,psnr 34.10529708862305,ergas 0.4751760395761808,cc 0.979933992444804,rmse 0.01531426475084098,Ssim 0.9441709272677734,Uqi 0.9974989042218328
Epoch:520  sam 2.276921272277832,psnr 34.21211624145508,ergas 0.46844231022405775,cc 0.9801430246354366,rmse 0.015041218523012274,Ssim 0.945818002047721,Uqi 0.997552324830329
Epoch:530  sam 2.3848981857299805,psnr 34.053009033203125,ergas 0.4823735157728082,cc 0.9802226508144446,rmse 0.01532603262970398,Ssim 0.9475579524266382,Uqi 0.9973237046131476
Epoch:540  sam 2.304208517074585,psnr 32.59135437011719,ergas 0.5420371134041777,cc 0.9803870284230788,rmse 0.01805711234138485,Ssim 0.9461088432686408,Uqi 0.996451149467662
Epoch:550  sam 2.223513126373291,psnr 32.579288482666016,ergas 0.546348936115081,cc 0.9807475798660645,rmse 0.017924645503973637,Ssim 0.9467396440350916,Uqi 0.9964284464786092
Epoch:560  sam 2.18623423576355,psnr 33.211669921875,ergas 0.5031305889995581,cc 0.9813329304812131,rmse 0.016967853017746257,Ssim 0.9490863848105058,Uqi 0.9970548140582698
Epoch:570  sam 2.161897897720337,psnr 33.55637741088867,ergas 0.48906800363871644,cc 0.9817044358856073,rmse 0.0163032655953418,Ssim 0.9503861157985859,Uqi 0.9972204623780756
Epoch:580  sam 2.149409294128418,psnr 33.22799301147461,ergas 0.5054194189911733,cc 0.9818803117436643,rmse 0.016736143612511304,Ssim 0.9506545255819066,Uqi 0.9969494393510429
Epoch:590  sam 2.129772186279297,psnr 33.373416900634766,ergas 0.49712008869595165,cc 0.982192465808159,rmse 0.016515913622186247,Ssim 0.9516667092610137,Uqi 0.9970524188975692
Epoch:600  sam 2.112767457962036,psnr 33.575992584228516,ergas 0.48506086027843776,cc 0.9824593885845061,rmse 0.016219611256327614,Ssim 0.9526255438134952,Uqi 0.997226533830653
Epoch:610  sam 2.0962955951690674,psnr 33.659950256347656,ergas 0.4812172773063419,cc 0.982713682114071,rmse 0.016051142592454624,Ssim 0.9533875558747974,Uqi 0.9972665495520266
Epoch:620  sam 2.0811927318573,psnr 33.71231460571289,ergas 0.47779030908448594,cc 0.9829334783752991,rmse 0.015978697295128252,Ssim 0.9540858448290138,Uqi 0.9973068568188805
Epoch:630  sam 2.0650794506073,psnr 33.82398223876953,ergas 0.4728660495174473,cc 0.9831643854255168,rmse 0.015745367770491975,Ssim 0.9547887702513229,Uqi 0.9973643598559383
Epoch:640  sam 2.050682306289673,psnr 33.88520050048828,ergas 0.4682484861965872,cc 0.9833904434335531,rmse 0.015693609990054782,Ssim 0.9555134427025715,Uqi 0.9974203321736022
Epoch:650  sam 2.0353407859802246,psnr 34.00346374511719,ergas 0.46441768838224196,cc 0.983621264476687,rmse 0.015396533863010722,Ssim 0.9561891420292293,Uqi 0.9974606314824187
Epoch:660  sam 2.0202975273132324,psnr 34.09425735473633,ergas 0.45765959442177273,cc 0.9837989952711301,rmse 0.015307506061858926,Ssim 0.956845317102489,Uqi 0.9975529304755041
Epoch:670  sam 2.0207841396331787,psnr 34.20506286621094,ergas 0.4541800320173207,cc 0.9839353033337864,rmse 0.015021276075984384,Ssim 0.9572435576997622,Uqi 0.9975945108629538
Epoch:680  sam 2.1647918224334717,psnr 34.486724853515625,ergas 0.44128135951357,cc 0.9838798687262889,rmse 0.015051833000808196,Ssim 0.9583068577310143,Uqi 0.9977629103671647
Epoch:690  sam 2.07057785987854,psnr 34.87732696533203,ergas 0.4331023996542344,cc 0.9841564723445705,rmse 0.013894612581105512,Ssim 0.9594744484269947,Uqi 0.9977821524869092
Epoch:700  sam 2.073122262954712,psnr 35.23438262939453,ergas 0.4161462088405208,cc 0.984322418879553,rmse 0.013412181108228347,Ssim 0.9592469785398594,Uqi 0.9979911534540543
Epoch:710  sam 2.021944522857666,psnr 34.659454345703125,ergas 0.43792641587900094,cc 0.9846257035409134,rmse 0.01463855601637424,Ssim 0.9601139067976959,Uqi 0.997740045749609
Epoch:720  sam 1.9611493349075317,psnr 34.496219635009766,ergas 0.4408850003997239,cc 0.9848059601681369,rmse 0.01476326136137457,Ssim 0.9609794819746426,Uqi 0.9976195616978956
Epoch:730  sam 1.9496595859527588,psnr 34.848697662353516,ergas 0.4275857171536392,cc 0.9850493357212416,rmse 0.013993554104223045,Ssim 0.9618167725110196,Uqi 0.9978036470530918
Epoch:740  sam 1.9385406970977783,psnr 34.87879943847656,ergas 0.42593752261142265,cc 0.9851975962350953,rmse 0.013955352138693505,Ssim 0.9622637181516707,Uqi 0.9978467682927931
Epoch:750  sam 1.919067621231079,psnr 34.76193618774414,ergas 0.42829364715030965,cc 0.9853432442625043,rmse 0.014187789550278544,Ssim 0.9626582233051306,Uqi 0.9978036631840193
Epoch:760  sam 1.905253529548645,psnr 34.68915939331055,ergas 0.42922033548223093,cc 0.9854953394505068,rmse 0.01435513384811682,Ssim 0.9630959497323643,Uqi 0.9977983364310916
Epoch:770  sam 1.8985017538070679,psnr 34.816978454589844,ergas 0.4248675900250882,cc 0.9855686353492965,rmse 0.014099410342600366,Ssim 0.9633898672355968,Uqi 0.9978557494927194
Epoch:780  sam 1.8915214538574219,psnr 34.929012298583984,ergas 0.4207420265804376,cc 0.9856739464469519,rmse 0.013916888095010375,Ssim 0.9637252422618383,Uqi 0.9979008370961167
Epoch:790  sam 1.8784523010253906,psnr 34.89312744140625,ergas 0.41992080488591355,cc 0.9858176791960775,rmse 0.014034276757055042,Ssim 0.964093175604897,Uqi 0.9979060268082596
Epoch:800  sam 1.8799890279769897,psnr 35.06669616699219,ergas 0.4152309649123543,cc 0.9858659837542975,rmse 0.013695257914004574,Ssim 0.9643013163148458,Uqi 0.9979584743870753
Epoch:810  sam 1.8626188039779663,psnr 34.883697509765625,ergas 0.41873567814490725,cc 0.9860486141386564,rmse 0.014136287470709188,Ssim 0.9647270110361487,Uqi 0.9979048686121272
Epoch:820  sam 1.8800865411758423,psnr 35.27045440673828,ergas 0.4091467188964765,cc 0.9860573964762791,rmse 0.013368851132042718,Ssim 0.9649128929389538,Uqi 0.998026325718171
Epoch:830  sam 2.398378849029541,psnr 34.73976516723633,ergas 0.4270457706254221,cc 0.985681619789232,rmse 0.01494978619939289,Ssim 0.9634518455641604,Uqi 0.9978346306217426
Epoch:840  sam 2.0464439392089844,psnr 35.092132568359375,ergas 0.42237169774351674,cc 0.9857091559900317,rmse 0.013520725791953524,Ssim 0.9625169496452514,Uqi 0.9979757484203428
Epoch:850  sam 2.3967971801757812,psnr 33.52323913574219,ergas 0.5355681359005584,cc 0.9850513433420368,rmse 0.01601800852024753,Ssim 0.9622761221800827,Uqi 0.9963553166230749
Epoch:860  sam 1.9037041664123535,psnr 34.80802917480469,ergas 0.43158256442161375,cc 0.9858117719803701,rmse 0.013972083398123553,Ssim 0.9623941526719945,Uqi 0.9978758305232082
Epoch:870  sam 2.219731330871582,psnr 34.81059265136719,ergas 0.4245404083398227,cc 0.9855411269144397,rmse 0.015054605042921863,Ssim 0.9619396769234918,Uqi 0.9979078277697497
Epoch:880  sam 1.910979151725769,psnr 35.24049377441406,ergas 0.402809345130967,cc 0.9860876873888322,rmse 0.013866754484306115,Ssim 0.9642047527258464,Uqi 0.9981337595392856
Epoch:890  sam 1.8396553993225098,psnr 35.61611557006836,ergas 0.3933232617546944,cc 0.986503750042653,rmse 0.0128407810625194,Ssim 0.9646563552131079,Uqi 0.9983023937494804
Epoch:900  sam 2.090749979019165,psnr 35.10324478149414,ergas 0.40560599230726646,cc 0.9868507323585919,rmse 0.014044834897380986,Ssim 0.9666169053114644,Uqi 0.9980611829664825
Epoch:910  sam 1.8886570930480957,psnr 35.59513854980469,ergas 0.3983704674429027,cc 0.9867806307426612,rmse 0.012815274599884316,Ssim 0.96534931373103,Uqi 0.9982106582931876
Epoch:920  sam 2.002378463745117,psnr 31.534339904785156,ergas 0.6091078999097146,cc 0.9868526486849851,rmse 0.021717018207249146,Ssim 0.9662358231547825,Uqi 0.995220837088351
Epoch:930  sam 2.19490122795105,psnr 34.725440979003906,ergas 0.4404055299856147,cc 0.9856571000712819,rmse 0.014566584797215912,Ssim 0.9637993522284858,Uqi 0.9977825922314483
